time,n,deltal,deltar,Vw,alpha_x,alpha_y,u,v,p,r,phi
0,366.361745840294,-0.000667792634540374,0.000505048081770158,2.3058404686817005,0.730398366799378,0.6830213948162981,1.9059304828813899,0.0684893236802277,0.0,0.0,0.0
1,376.009382965212,0.0269512428759281,-0.0275011392958471,2.3710182821464,0.727234974709556,0.6863885864138412,2.03884441675177,0.18236857829187098,0.000587684355071629,-0.0036830559064337702,0.000936654084037869
2,382.34862259643,0.0399361912676506,-0.0386306646481679,2.38084458528952,0.723730265315054,0.6900829682487479,1.75950097621673,-0.0907581959044003,0.0006082768166230059,0.00044169002253877196,0.000435782455662448
3,389.835857065013,0.046755325565030995,-0.0476111408237287,2.01843484456215,0.7251342690183051,0.688607502061434,1.8462101011187,-0.0129042181621594,0.0032779386787100103,-0.0023536959270990102,0.00386953909692567
4,397.31677097260905,0.0465441406483103,-0.0470695790336945,2.33779539530011,0.7334518382840741,0.6797414220993989,2.01280015548737,0.141466073569668,-0.00285088013158514,-0.00197233211138525,0.00319969463721392
5,411.037526153852,0.0475113622931288,-0.0478837999799709,2.2579219525721004,0.725006329292575,0.688742203212281,1.9047863152502098,0.032017955996823,-0.0004908282313401509,-3.38223622529014e-05,0.00156485107290116
6,419.834839809093,0.0476024129876059,-0.0475745525927269,2.09954646541522,0.7463645963071289,0.665537293755426,1.9694847193221,0.0819232145703766,-0.0017846855220480602,-0.0016273348867198699,0.000865956187296124
7,431.362052087903,0.0492558766870364,-0.0472582689380661,1.9292578042825401,0.7512140476399749,0.6600586751406011,1.8406128022701,-0.0601186496833452,0.0018434444745084398,-0.00191870528947524,-0.000214538485454607
8,440.001269939275,0.0505244210016282,-0.0491827914164941,2.2348180624252003,0.750048207665694,0.6613831613954799,1.80209581087529,-0.10596250199770699,6.52428567097881e-05,-0.000134102825985837,0.00185243119797418
9,448.01114330711096,0.0475339737771629,-0.0471199403213803,2.4150973185285096,0.794690353250433,0.607015026544403,1.9421733156566299,0.0102059143100228,0.00199819766511667,-0.00291369272389946,0.00175095253104463
10,453.779241630088,0.0510934717190151,-0.0473708812140114,2.52585588320771,0.785814733641072,0.6184619668117121,1.9827173295557499,0.0396450907678682,-0.0006267600417853259,-0.000243546019181656,0.00303212683318588
11,469.899137029269,0.0479787596364806,-0.049357300283615,2.42101943661268,0.777615519733192,0.628740092144662,1.9010992498300099,-0.0605564510217396,-0.00291966822607557,-0.0010748929753576699,0.0007322554691207019
12,481.455921169419,0.0482615570713931,-0.0482176587124583,2.26130023352433,0.7440363943080659,0.668139090268674,1.8973496065086002,-0.0909402651126372,0.00254079738926358,-0.00426160596718087,0.000480278493763642
13,496.868072923762,0.0495610667574923,-0.04789348086903599,2.44388119339854,0.745244170547202,0.666791666313709,1.9698747587019598,-0.0287622691600405,0.000284020704586125,6.5191979181466795e-06,0.00285572237558318
14,492.06966843026703,0.0477390520516743,-0.0480920960439072,2.36462928249883,0.738092911851911,0.6746990836469,2.00638317109559,-0.00912760523045755,-0.0013898607423967302,0.0006906044450530179,0.0012929558203169699
15,510.28828476126404,0.0480895981835682,-0.0480341395626073,2.3924964658650096,0.7055382483431201,0.708671842339543,2.19829687061914,0.14681771627624898,-0.000733501221043244,-0.00323433427988446,0.000293903130811568
16,519.72845676638,0.0494187789415763,-0.0500312747250407,2.3670946589473902,0.7427016782925621,0.66962244366614,2.19671240042976,0.125964175041588,0.0014544605924601,-0.0013991678566734,0.00047942210056506297
17,528.440210831323,0.0486114894740257,-0.0449484797858022,2.2239290630314104,0.7426607316361321,0.6696678562434399,1.8855781702953702,-0.213260381534752,-0.00019172120483289698,-0.0018320427633703698,0.0015216453441886401
18,540.736157472181,0.0481167108185372,-0.04731957304601599,2.3536633049014704,0.7726003403600129,0.634892679179397,1.95621171766204,-0.16660011376941,0.00152142558668708,-0.00168753082629437,0.0027489586480538
19,554.7193552566259,0.048357490543737995,-0.048641062031917,2.09795573215677,0.7824316658348991,0.622736451718401,2.18252547728919,0.0262853145885283,0.000342950387680747,-0.00245570754581566,0.00230577116068575
20,557.299080150986,0.0480849372093471,-0.0496190122688432,2.04730215212223,0.786247230461866,0.617912042762596,2.15990846414575,-0.0221439876298504,-0.00224386046851402,-0.000991772358433273,0.00171106129909671
